path,kind,module,revision,step,substep_id,status,method,evidence,reason
.env.example,config,shell,9030e6aee8c96c27b7ba1179f0908c8153091a464ca16df4b992ac34a3418ac8,03,03-S03,已检查,全文阅读+链路追踪,evidence/03-auth-session-review.md · A-13,
arts/rooms/study/generated/README.md,asset-dir,room,d315cb498ed3db8f12cfc5d9cd90eefdd204a4fe4e209daeefe5671b0fba6c85,03,03-S06,已检查,路径核对,evidence/03-room-shell-review.md · D-13; turntable.json values match study-room.ts,
eslint.config.js,config,root,bc29c6921cc9d18efbe76835600bf69378a3ab7c6bc547772385e428fa6dd841,03,03-S01,已检查,全文阅读,"evidence/03-coordinator-review.md · no finding, checked: react-hooks flat recommended（含 v7 refs/set-state-in-effect）+ react-refresh vite；三条 TS 规则降为 warn；与 03-research R10 对照",
index.html,config,shell,ae19b5d177b6942cf92f5a04112f7c11ca0126f2598c734a1966c105ac1d44e7,03,03-S03,已检查,全文阅读+链路追踪,evidence/03-auth-session-review.md · A-19,
package.json,config,root,a2f0426d1d6e93246127270f8a701d0fac1edf6bc88bd954a8e2c4f830f30e8e,03,03-S01,已检查,全文阅读,"evidence/03-coordinator-review.md · no finding, checked: 6 个运行时依赖 / scripts dev·dev2·build·lint·preview·format；无 test/CI 入口（第一步 PA-017 已登记脚本未登记）",
public/rooms/gameroom,asset-dir,room,dir-aggregate,03,03-S06,已检查,路径核对,evidence/03-room-shell-review.md · 1 file checked (thumb) referenced by rail.tsx:26,
public/rooms/garden,asset-dir,room,dir-aggregate,03,03-S06,已检查,路径核对,evidence/03-room-shell-review.md · 1 file checked (thumb) referenced by rail.tsx:27,
public/rooms/study,asset-dir,room,dir-aggregate,03,03-S06,已检查,路径核对,"evidence/03-room-shell-review.md · 4 files checked (golden/twilight/night 1586x992, thumb) all referenced",
public/rooms/study/parts,asset-dir,room,dir-aggregate,03,03-S06,已检查,路径核对,"evidence/03-room-shell-review.md · 13 files checked (9x512 platter/light, 3 spindle 36x44, tonearm 204x164) all referenced",
scripts/build-turntable-parts.py,script,room,533ae84236a43f9d9cfc9338bf2b1271d60ae322217cc77fb97a995bc2b3ac7a,03,03-S06,受限,只读 CLI/manifest 写出段(:348-473),evidence/03-room-shell-review.md · D-13; §7 contract,未运行(诊断步不执行脚本)
scripts/check-design-system.mjs,script,scripts,9070ed214fb8bbf89e28e0b4b1ac720b9aa981cae9035cc3c64ffd08e670619f,03,03-S07,已检查,契约抽取（未运行）,evidence/03-coordinator-review.md · no finding：零外部依赖；断言 ai/design_system/design-system.md 可达性与 md 内链接/图片；不依赖 dev server,
scripts/check-diary.mjs,script,scripts,e063fc7579ec64b9258af2b61928c6a2aecccb652e4d0d59135b3f9232d8531a,03,03-S04,受限,全文阅读+链路追踪,evidence/03-memories-review.md · B-17; DOM hooks .tl-card/.tt/.tl-time no longer exist,未运行（需 dev 服务器与 .env.local）
scripts/check-journal-art.mjs,script,scripts,ee116733804d07ee23ad5e09a318bcce181617805d23fd58974019a4df52a193,03,03-S04,受限,全文阅读+链路追踪,"evidence/03-memories-review.md · B-17; stylesheet-name assertion stale, module URL/DOM/mock contracts match",未运行（需 dev 服务器与 .env.local）
scripts/check-journal-turn.mjs,script,scripts,dcc1cf08fcbf3cc4f568d601e1b5bfec1c8e07b68847ef1873cb7f8ba0008a83,03,03-S04,受限,全文阅读+链路追踪,"evidence/03-memories-review.md · B-17; stylesheet-name assertion stale, module URL/DOM/mock contracts match",未运行（需 dev 服务器与 .env.local）
scripts/check-navigation.mjs,script,scripts,83c0aab6cd3b014f5c35f661dae6e0513b78b83fc693a10d75b0bc1db7516fc9,03,03-S07,已检查,契约抽取（未运行）,evidence/03-coordinator-review.md · 契约：baseUrl()/?enter=1、.amb-panel/.amb-tab/.rail/.modules-pop/.rooms-pop 选择器、docs 页 ui-system.html#navigation-glass 与 navigation-verification/comparison.png；选择器在 src 中仍存在（grep），脚本未运行,
scripts/compare-journal-art.mjs,script,scripts,71b66e9e4c148b932101e9125f70cabea59e9a57676e6b361846872f4f3c05df,03,03-S04,受限,全文阅读+链路追踪,"evidence/03-memories-review.md · no finding, all four input images exist",未运行（依赖 sharp 外部依赖）
scripts/fit-disc-ellipse.py,script,room,4a2de0ca62dc9a6f20b7a9b754c1a67886fb8671bcd8572ee1251e4738cda920,03,03-S06,受限,只读 CLI/打印段(:121-166),evidence/03-room-shell-review.md · §7 contract,未运行(诊断步不执行脚本)
scripts/lib/deps.mjs,script,scripts,06968e6914ca7a11bae0718e78530fbe43f4a40e5517b6c36d6f9d5cee59fe4b,03,03-S04,已检查,全文阅读+链路追踪,"evidence/03-memories-review.md · no finding, DIARY_NODE_MODULES / JOURNAL_URL contract recorded",
scripts/pack-journal-art.mjs,script,scripts,c3f4433a9564088f7e5495bc70bbb9b3784db4787f30d9b4b347bc9d4fe8fe7f,03,03-S04,受限,全文阅读+链路追踪,"evidence/03-memories-review.md · no finding, inputs/outputs exist and outputs are the six files code references",未运行（依赖 sharp 外部依赖）
scripts/pack-navigation-texture.mjs,script,scripts,569378f66aa6bcf51b28ca68b8321e95025fc66b26fa38029b9274957c5bd66d,03,03-S07,已检查,契约抽取（未运行）,evidence/03-coordinator-review.md · 契约：读 arts/ui/navigation/frost-source.png → 写 public/ui/nav/frost.webp；两路径均存在（ls）,
scripts/render-journal-turn.mjs,script,scripts,e023db325deb77d1cc0397e50a2be4c1de9f59d1a126a14a6c3943c6230d7a99,03,03-S04,受限,全文阅读+链路追踪,"evidence/03-memories-review.md · no finding, prototype html/ts and turnDemo exist",未运行（需 dev 服务器）
sql/dev-create-world.sql,sql,world,d02b2bd65fcb30b7a7b60a04d186d835eda5e0c28fd531182a141fbdee2f6ae7,03,03-S03,待验证,全文阅读+链路追踪,evidence/03-auth-session-review.md · A-07;A-19；另见 03-memories：B-18 (broken world.md R-6 link); status column not read by code,线上 DDL 不可核（MCP 401）；脚本假设的 status/name 默认值只能待核线上
sql/storage-memories-bucket.sql,sql,world,6e36330250e660b713978ef0bd564500b1f7e884929b4213ac3a647c56a54189,03,03-S03,待验证,全文阅读+链路追踪,"evidence/03-auth-session-review.md · no finding, checked icon path/mime/size against policies；另见 03-memories：B-02; bucket/mime/RLS assumptions match code; live state unverifiable",线上策略是否与脚本一致不可核（MCP 401）
src/App.tsx,source,shell,4a6da22db11d273e1ec2c470fe20d142027c9f7d6f9e7dd42bdec4893b37366c,03,03-S03,已检查,全文阅读+链路追踪,evidence/03-auth-session-review.md · A-17,
src/hooks/useAuth.ts,source,auth,adcf09eabb868c9ef56e96de356552389026c185a033e29f71dc0ac8863c2011,03,03-S03,已检查,全文阅读+链路追踪,"evidence/03-auth-session-review.md · no finding, checked getSession+onAuthStateChange cleanup and StrictMode double-run",
src/hooks/useFeed.ts,source,memories,f3f692b2fb9de1c59e8ad03ca0b19b3baf446d710af29b7dcb976c1da88bad0e,03,03-S04,已检查,全文阅读+链路追踪,evidence/03-memories-review.md · B-06;B-07;B-12;B-13;B-14;B-19,
src/index.css,style,css,fec5efc34e392a06d2a5f24da9493b04cb007b084b1222f0944a33d426d27c41,03,03-S06,已检查,全文阅读(契约维度),"evidence/03-room-shell-review.md · no finding, reset only",
src/lib/chat.ts,source,chat,017daced2bae83aec8d3b5a3a98ab3e9edb18d7ff0567beb1c567d11698b9257,03,03-S05,已检查,全文阅读+链路追踪,evidence/03-chat-review.md · C-05;C-06;C-07;C-17;契约表 §2,
src/lib/emotes.ts,source,emotes,08e4b6da60a8babb2c3c31d8b6c2e33c9774fb1ede89d5ca01ae8f1fcfcd8257,03,03-S05,受限,全文阅读+链路追踪,evidence/03-chat-review.md · C-15;契约表 §2,Edge Function emotes 源码不在仓库；search/import 服务端限制不可核
